DATAFLOW,LAST UPDATE,freq,indic_is,unit,hhtyp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,AT,2011,95.42,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,AT,2012,97.63,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,AT,2013,98.67,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,AT,2014,98.00,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,AT,2015,98.17,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,AT,2016,100.00,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,AT,2017,99.54,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,AT,2018,98.77,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,AT,2019,99.36,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,AT,2020,98.77,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,AT,2021,95.80,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BE,2011,96.73,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BE,2012,96.12,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BE,2013,98.25,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BE,2014,98.40,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BE,2015,96.82,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BE,2016,97.20,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BE,2017,98.00,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BE,2018,95.94,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BE,2019,97.60,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BE,2020,100.00,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BE,2021,100.00,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BG,2011,88.45,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BG,2012,99.74,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BG,2013,99.83,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BG,2014,99.67,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BG,2015,99.49,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BG,2016,98.85,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BG,2017,99.36,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BG,2018,99.11,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BG,2019,99.83,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BG,2020,99.70,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,BG,2021,100.00,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CH,2011,,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CH,2012,,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CH,2013,,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CH,2014,94.80,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CH,2015,,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CH,2016,,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CH,2017,96.32,b
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CH,2018,,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CH,2019,99.78,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CH,2020,,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CH,2021,99.39,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CY,2011,96.78,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CY,2012,99.74,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CY,2013,99.45,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CY,2014,99.85,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CY,2015,99.93,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CY,2016,99.80,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CY,2017,99.51,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CY,2018,99.39,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CY,2019,99.81,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CY,2020,99.69,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CY,2021,100.00,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CZ,2011,95.21,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CZ,2012,95.50,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CZ,2013,95.55,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CZ,2014,97.34,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CZ,2015,96.28,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CZ,2016,98.37,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CZ,2017,99.57,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CZ,2018,99.32,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CZ,2019,100.00,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CZ,2020,100.00,b
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,CZ,2021,100.00,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DE,2011,93.11,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DE,2012,95.35,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DE,2013,96.63,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DE,2014,96.76,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DE,2015,97.28,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DE,2016,97.25,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DE,2017,98.65,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DE,2018,95.61,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DE,2019,99.05,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DE,2020,98.99,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DE,2021,96.69,b
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DK,2011,93.13,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DK,2012,92.15,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DK,2013,94.04,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DK,2014,91.72,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DK,2015,91.78,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DK,2016,97.09,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DK,2017,94.95,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DK,2018,97.44,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DK,2019,96.96,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DK,2020,97.09,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,DK,2021,96.18,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EE,2011,93.58,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EE,2012,98.94,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EE,2013,98.88,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EE,2014,97.96,b
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EE,2015,99.07,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EE,2016,98.96,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EE,2017,98.97,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EE,2018,98.69,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EE,2019,99.53,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EE,2020,99.04,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EE,2021,98.97,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EL,2011,90.46,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EL,2012,94.26,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EL,2013,97.71,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EL,2014,98.64,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EL,2015,98.54,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EL,2016,98.45,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EL,2017,99.56,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EL,2018,99.52,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EL,2019,99.39,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EL,2020,99.47,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,EL,2021,99.90,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,ES,2011,96.88,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,ES,2012,98.32,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,ES,2013,98.71,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,ES,2014,98.20,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,ES,2015,98.82,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,ES,2016,99.05,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,ES,2017,99.16,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,ES,2018,99.72,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,ES,2019,99.71,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,ES,2020,99.90,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,ES,2021,99.99,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FI,2011,96.60,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FI,2012,97.89,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FI,2013,98.61,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FI,2014,98.99,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FI,2015,99.55,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FI,2016,99.20,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FI,2017,98.93,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FI,2018,98.64,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FI,2019,98.63,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FI,2020,98.78,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FI,2021,98.88,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2011,92.14,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2012,96.54,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2013,95.91,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2014,92.45,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2015,92.09,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2016,92.33,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2017,91.63,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2018,91.81,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2019,91.87,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2020,,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2021,94.41,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2011,91.83,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2012,90.10,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2013,98.57,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2014,99.53,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2015,98.86,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2016,99.40,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2017,99.40,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2018,99.27,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2019,100.00,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2020,100.00,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2021,99.97,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HU,2011,93.42,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HU,2012,99.17,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HU,2013,99.34,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HU,2014,99.23,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HU,2015,98.98,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HU,2016,98.77,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HU,2017,99.43,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HU,2018,99.47,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HU,2019,99.64,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HU,2020,99.54,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HU,2021,100.00,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IE,2011,83.75,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IE,2012,80.71,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IE,2013,81.32,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IE,2014,96.81,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IE,2015,97.44,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IE,2016,98.73,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IE,2017,99.63,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IE,2018,98.86,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IE,2019,99.28,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IE,2020,100.00,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IE,2021,95.74,b
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IS,2011,99.81,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IS,2012,98.04,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IS,2013,99.04,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IS,2014,96.05,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IS,2015,,
